feature,x,score
distance_to_nearest_major_city_km,35.91030472309279,0.01095
distance_to_nearest_major_city_km,36.65118567800896,0.00844
distance_to_nearest_major_city_km,39.66639041319758,0.00768
distance_to_nearest_major_city_km,40.753429961137115,0.00584
distance_to_nearest_major_city_km,41.03253437385387,0.00442
distance_to_nearest_major_city_km,41.81265289631803,0.00399
distance_to_nearest_major_city_km,43.599694066415005,0.00318
distance_to_nearest_major_city_km,45.21924070114275,0.00355
distance_to_nearest_major_city_km,45.58604640311693,0.00404
distance_to_nearest_major_city_km,46.02591202852406,0.00137
distance_to_nearest_major_city_km,46.8297316680716,0.0007
distance_to_nearest_major_city_km,47.273870623563546,-0.00018
distance_to_nearest_major_city_km,47.94667111444778,-0.00124
distance_to_nearest_major_city_km,50.14907835956872,-0.00101
distance_to_nearest_major_city_km,52.541434048675,-0.00136
distance_to_nearest_major_city_km,54.45943779664866,-0.00209
distance_to_nearest_major_city_km,56.343459404829005,-0.0029
distance_to_nearest_major_city_km,58.02082460214807,-0.00254
distance_to_nearest_major_city_km,59.532442596662584,-0.00278
distance_to_nearest_major_city_km,61.2408176773085,-0.00245
distance_to_nearest_major_city_km,62.64991562699137,-0.00165
distance_to_nearest_major_city_km,64.56040919051301,-0.00146
distance_to_nearest_major_city_km,65.75458147490986,-0.0013
distance_to_nearest_major_city_km,69.87936016853041,-0.00151
distance_to_nearest_major_city_km,71.03015712427292,-0.00168
distance_to_nearest_major_city_km,72.45792801666471,-0.00151
distance_to_nearest_major_city_km,74.44851123977502,-0.00208
distance_to_nearest_major_city_km,75.41309916422527,-0.00326
distance_to_nearest_major_city_km,76.23702322226043,-0.00881
distance_to_nearest_major_city_km,76.60838414366675,-0.01059
distance_to_nearest_major_city_km,79.9806532538295,-0.01168
distance_to_nearest_major_city_km,81.1830566787603,-0.01851
distance_to_nearest_major_city_km,83.13408846747674,-0.03265
distance_to_nearest_major_city_km,84.74874970237406,-0.03889
distance_to_nearest_major_city_km,85.41603447056198,-0.04907
distance_to_nearest_major_city_km,86.24163460977621,-0.0493
distance_to_nearest_major_city_km,86.83172565291878,-0.05104
distance_to_nearest_major_city_km,87.74971837252266,-0.05304
distance_to_nearest_major_city_km,88.61983091315734,-0.05314
distance_to_nearest_major_city_km,88.84601116266643,-0.05698
distance_to_nearest_major_city_km,90.14765992987941,-0.05747
distance_to_nearest_major_city_km,92.17857812050923,-0.05838
distance_to_nearest_major_city_km,94.48903272901397,-0.0618
distance_to_nearest_major_city_km,95.310534890877,-0.06272
distance_to_nearest_major_city_km,96.00741649374905,-0.06294
distance_to_nearest_major_city_km,97.83764636999803,-0.06369
distance_to_nearest_major_city_km,98.3429337790723,-0.06494
distance_to_nearest_major_city_km,99.8359542413208,-0.06517
distance_to_nearest_major_city_km,101.13337400721962,-0.07273
distance_to_nearest_major_city_km,101.92955589166449,-0.07449
distance_to_nearest_major_city_km,103.35725587641787,-0.07603
distance_to_nearest_major_city_km,104.2807909981483,-0.07639
distance_to_nearest_major_city_km,105.35038313730978,-0.0765
distance_to_nearest_major_city_km,108.83552315507558,-0.07619
distance_to_nearest_major_city_km,109.52351109279331,-0.07646
distance_to_nearest_major_city_km,110.29095339863015,-0.0774
distance_to_nearest_major_city_km,110.73215808503366,-0.0773
distance_to_nearest_major_city_km,110.94458538685106,-0.07685
distance_to_nearest_major_city_km,111.92853112497815,-0.07696
distance_to_nearest_major_city_km,113.36575591456432,-0.07644
distance_to_nearest_major_city_km,117.83265577339162,-0.0762
distance_to_nearest_major_city_km,123.36708988413871,-0.07729
distance_to_nearest_major_city_km,124.75529290905851,-0.07744
distance_to_nearest_major_city_km,125.40259358870476,-0.07837
distance_to_nearest_major_city_km,126.30481978605053,-0.08043
distance_to_nearest_major_city_km,127.2843305749904,-0.07978
distance_to_nearest_major_city_km,128.72123589323564,-0.07867
distance_to_nearest_major_city_km,128.79293660445035,-0.07809
distance_to_nearest_major_city_km,129.0087311810081,-0.0774
distance_to_nearest_major_city_km,130.12543095669648,-0.07632
distance_to_nearest_major_city_km,132.10026603737606,-0.07553
distance_to_nearest_major_city_km,133.05795951755556,-0.07517
distance_to_nearest_major_city_km,133.76033720614117,-0.07423
distance_to_nearest_major_city_km,134.0015149379039,-0.07387
distance_to_nearest_major_city_km,134.19833144853186,-0.06706
distance_to_nearest_major_city_km,134.83901659186068,-0.05539
distance_to_nearest_major_city_km,136.5596985219588,-0.05554
distance_to_nearest_major_city_km,138.14593569187713,-0.05505
distance_to_nearest_major_city_km,138.55678406359908,-0.05365
distance_to_nearest_major_city_km,139.28252081632453,-0.05305
distance_to_nearest_major_city_km,140.01749646555413,-0.05227
distance_to_nearest_major_city_km,141.54640268377614,-0.05178
distance_to_nearest_major_city_km,142.26553991891677,-0.0517
distance_to_nearest_major_city_km,142.78666070183934,-0.05041
distance_to_nearest_major_city_km,143.33141141831163,-0.0495
distance_to_nearest_major_city_km,146.35641746723297,-0.04426
