interaction,x,y,score
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,16,0.02041
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,17,0.01242
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,18,0.01159
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,19,0.0107
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,20,0.00683
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,21,0.00593
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,22,-0.00029
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,23,-0.00118
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,24,-0.00317
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,25,-0.00363
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,26,-0.00358
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,27,-0.00356
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,28,-0.00373
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,29,-0.00683
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,30,-0.01943
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,31,-0.02115
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,32,-0.02563
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,33,-0.02708
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,34,-0.02769
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,35,-0.02817
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,36,-0.0286
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,37,-0.02889
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,38,-0.02735
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,39,0.00656
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,40,0.00632
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,41,0.00425
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,42,0.00397
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,43,0.00395
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,44,0.00339
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,45,0.00389
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,46,0.00429
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,47,0.00481
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,48,0.00617
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,49,0.0264
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,50,0.02631
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,51,0.03002
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,52,0.0302
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,53,0.02561
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,54,0.02209
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,55,-0.00776
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,56,-0.00822
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,57,-0.01282
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,58,-0.01288
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,59,-0.01295
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,60,-0.01262
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,61,-0.01268
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,0,0.0311
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,1,0.03386
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,2,0.03898
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,3,0.03891
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,4,0.04321
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,5,0.04279
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,6,0.04435
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,7,0.04153
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,8,0.03967
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,9,0.03668
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,10,0.03691
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,11,0.03674
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,12,0.04267
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,13,0.04246
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,14,0.04194
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,15,0.04128
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,16,0.04152
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,17,0.03392
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,18,0.03345
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,19,0.03256
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,20,0.02881
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,21,0.02801
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,22,0.02279
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,23,0.022
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,24,0.02001
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,25,0.01963
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,26,0.01968
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,27,0.01979
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,28,0.01962
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,29,0.01652
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,30,0.00462
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,31,0.00291
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,32,-0.00152
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,33,-0.00293
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,34,-0.00346
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,35,-0.00382
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,36,-0.00404
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,37,-0.00433
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,38,-0.0028
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,39,0.02004
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,40,0.01979
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,41,0.01759
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,42,0.01731
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,43,0.01724
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,44,0.01667
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,45,0.01711
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,46,0.01752
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,47,0.01804
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,48,0.01939
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,49,0.04936
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,50,0.04927
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,51,0.0531
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,52,0.05328
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,53,0.04879
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,54,0.0454
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,55,0.01586
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,56,0.01516
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,57,0.01048
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,58,0.01044
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,59,0.01037
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,60,0.01078
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,3,61,0.01072
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,0,-0.07381
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,1,-0.06214
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,2,-0.05021
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,3,-0.05028
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,4,-0.04598
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,5,-0.0464
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,6,-0.04466
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,7,-0.04692
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,8,-0.04842
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,4,9,-0.0447
